contig_name,prediction,prediction_score
ICTVTaxoChallenge_704144,Fernvirus,1
ICTVTaxoChallenge_638859,Eucampyvirinae,1
ICTVTaxoChallenge_676457,Guernseyvirinae,1
ICTVTaxoChallenge_404458,Herelleviridae,0.75186455
ICTVTaxoChallenge_563849,Nclasvirinae,1
ICTVTaxoChallenge_630951,Skurskavirinae,0.6490451
ICTVTaxoChallenge_619282,Parvoviridae,1
ICTVTaxoChallenge_179450,Papillomaviridae,1
ICTVTaxoChallenge_249095,Vequintavirinae,1
ICTVTaxoChallenge_553760,Orthoherpesviridae,1
ICTVTaxoChallenge_764962,Polyomaviridae,1
ICTVTaxoChallenge_184368,Geminiviridae,1
ICTVTaxoChallenge_547847,Geminiviridae,1
ICTVTaxoChallenge_749363,Papillomaviridae,1
ICTVTaxoChallenge_927905,Herelleviridae,0.70121646
ICTVTaxoChallenge_202759,Bromoviridae,0.2722867
ICTVTaxoChallenge_739846,Baculoviridae,1
ICTVTaxoChallenge_762081,Straboviridae,1
ICTVTaxoChallenge_684612,Herelleviridae,0.77480024
ICTVTaxoChallenge_537734,Caulimoviridae,1
ICTVTaxoChallenge_603769,Aliceevansviridae,1
ICTVTaxoChallenge_664239,Baculoviridae,1
ICTVTaxoChallenge_315174,Guernseyvirinae,1
ICTVTaxoChallenge_74861,Solspiviridae,1
ICTVTaxoChallenge_300888,Zobellviridae,0.18493707
ICTVTaxoChallenge_617751,Drexlerviridae,1
ICTVTaxoChallenge_152236,Adenoviridae,1
ICTVTaxoChallenge_357696,Atkinsviridae,1
ICTVTaxoChallenge_420522,Adenoviridae,1
ICTVTaxoChallenge_971218,Gracegardnervirinae,1
ICTVTaxoChallenge_248720,Rhabdoviridae,1
ICTVTaxoChallenge_908174,Autographiviridae,1
ICTVTaxoChallenge_672740,Autographiviridae,1
ICTVTaxoChallenge_571517,Vequintavirinae,1
ICTVTaxoChallenge_958367,Inoviridae,1
ICTVTaxoChallenge_22823,Adenoviridae,1
ICTVTaxoChallenge_47292,Straboviridae,1
ICTVTaxoChallenge_115298,Filoviridae,1
ICTVTaxoChallenge_942002,Hepadnaviridae,1
ICTVTaxoChallenge_398532,Aliceevansviridae,1
ICTVTaxoChallenge_510137,Papillomaviridae,1
ICTVTaxoChallenge_524992,Adenoviridae,1
ICTVTaxoChallenge_2128,Orthoherpesviridae,1
ICTVTaxoChallenge_686252,Zierdtviridae,0.43504927
ICTVTaxoChallenge_115882,Geminiviridae,1
ICTVTaxoChallenge_417575,Iridoviridae,1
ICTVTaxoChallenge_752568,Autographiviridae,1
ICTVTaxoChallenge_849171,Demerecviridae,1
ICTVTaxoChallenge_304403,Closteroviridae,1
ICTVTaxoChallenge_799527,Geminiviridae,1
ICTVTaxoChallenge_3802,Korravirus,1
ICTVTaxoChallenge_863126,Mimiviridae,0.42926517
ICTVTaxoChallenge_624200,Togaviridae,1
ICTVTaxoChallenge_589904,Mimiviridae,0.100150876
ICTVTaxoChallenge_330206,Iridoviridae,1
ICTVTaxoChallenge_698242,Obolenskvirus,1
ICTVTaxoChallenge_56472,Geminiviridae,1
ICTVTaxoChallenge_431398,Inoviridae,0.47990683
ICTVTaxoChallenge_170176,Mimiviridae,0.39642608
ICTVTaxoChallenge_897886,Caulimoviridae,1
ICTVTaxoChallenge_677296,Mccleskeyvirinae,1
ICTVTaxoChallenge_82341,Caulimoviridae,1
ICTVTaxoChallenge_965707,Autographiviridae,1
ICTVTaxoChallenge_272079,Drexlerviridae,1
ICTVTaxoChallenge_544105,Autographiviridae,1
ICTVTaxoChallenge_33117,Herelleviridae,1
ICTVTaxoChallenge_892931,Fiersviridae,1
ICTVTaxoChallenge_108610,Closteroviridae,1
ICTVTaxoChallenge_24763,Baculoviridae,1
ICTVTaxoChallenge_632913,Sepvirinae,1
ICTVTaxoChallenge_162746,Microviridae,0.15581255
ICTVTaxoChallenge_909676,Microviridae,1
ICTVTaxoChallenge_565535,Drexlerviridae,1
ICTVTaxoChallenge_46298,Geminiviridae,1
ICTVTaxoChallenge_327058,Herelleviridae,1
ICTVTaxoChallenge_260308,Inseviridae,0.18003438
ICTVTaxoChallenge_833199,Schitoviridae,1
ICTVTaxoChallenge_654412,Jondennisvirinae,0.5672984
ICTVTaxoChallenge_645017,Geminiviridae,1
ICTVTaxoChallenge_682389,Schitoviridae,1
ICTVTaxoChallenge_757575,Vividuovirus,0.59902406
ICTVTaxoChallenge_821473,Skunavirus,1
ICTVTaxoChallenge_427078,Demerecviridae,1
ICTVTaxoChallenge_95669,Betaflexiviridae,1
ICTVTaxoChallenge_217134,Casadabanvirus,0.45626456
ICTVTaxoChallenge_225239,Geminiviridae,0.18521538
ICTVTaxoChallenge_840322,Schitoviridae,1
ICTVTaxoChallenge_116949,Chaseviridae,1
ICTVTaxoChallenge_23346,Marthavirus,1
ICTVTaxoChallenge_22636,Genomoviridae,1
ICTVTaxoChallenge_552662,Steigviridae,1
ICTVTaxoChallenge_174405,Betaflexiviridae,1
ICTVTaxoChallenge_390044,Schitoviridae,1
ICTVTaxoChallenge_305147,Tybeckvirinae,0.8941355
ICTVTaxoChallenge_672887,Mymonaviridae,1
ICTVTaxoChallenge_811151,Straboviridae,1
ICTVTaxoChallenge_157628,Chimalliviridae,1
ICTVTaxoChallenge_388376,Schitoviridae,1
ICTVTaxoChallenge_149612,Adenoviridae,1
ICTVTaxoChallenge_982270,Demerecviridae,1
ICTVTaxoChallenge_75671,Geminiviridae,1
ICTVTaxoChallenge_907411,Zobellviridae,1
ICTVTaxoChallenge_361514,Bclasvirinae,0.9487907
ICTVTaxoChallenge_405442,Autographiviridae,0.15219568
ICTVTaxoChallenge_841657,Steitzviridae,1
ICTVTaxoChallenge_624965,Ounavirinae,1
ICTVTaxoChallenge_727026,Inoviridae,1
ICTVTaxoChallenge_537358,Chimalliviridae,1
ICTVTaxoChallenge_263439,Herelleviridae,1
ICTVTaxoChallenge_688569,Nymbaxtervirinae,0.5745366
ICTVTaxoChallenge_53741,Retroviridae,1
ICTVTaxoChallenge_289710,Benedictvirus,0.21960187
ICTVTaxoChallenge_805464,Redondoviridae,1
ICTVTaxoChallenge_743628,Pahexavirus,1
ICTVTaxoChallenge_184030,Drexlerviridae,1
ICTVTaxoChallenge_696618,Pleolipoviridae,1
ICTVTaxoChallenge_544386,Steitzviridae,1
ICTVTaxoChallenge_108578,Poxviridae,1
ICTVTaxoChallenge_232772,Queuovirinae,1
ICTVTaxoChallenge_408184,Aliceevansviridae,1
ICTVTaxoChallenge_123694,Baculoviridae,1
ICTVTaxoChallenge_445709,Casjensviridae,1
ICTVTaxoChallenge_336976,Skunavirus,1
ICTVTaxoChallenge_905467,Steitzviridae,1
ICTVTaxoChallenge_646395,Herelleviridae,0.05845403
ICTVTaxoChallenge_872421,Zobellviridae,1
ICTVTaxoChallenge_127116,Autographiviridae,1
ICTVTaxoChallenge_789675,Ignaciovirus,0.10435837
ICTVTaxoChallenge_53079,Benedictvirus,0.19758613
ICTVTaxoChallenge_455135,Pbunavirus,1
ICTVTaxoChallenge_837558,Aliceevansviridae,1
ICTVTaxoChallenge_66439,Atkinsviridae,1
ICTVTaxoChallenge_672831,Schitoviridae,1
ICTVTaxoChallenge_17251,Closteroviridae,1
ICTVTaxoChallenge_283034,Poxviridae,1
ICTVTaxoChallenge_152797,Casadabanvirus,1
ICTVTaxoChallenge_341178,Bclasvirinae,1
ICTVTaxoChallenge_192962,Azeevirinae,1
ICTVTaxoChallenge_859658,Benedictvirus,0.2099616
ICTVTaxoChallenge_533152,Steitzviridae,1
ICTVTaxoChallenge_53557,Papillomaviridae,1
ICTVTaxoChallenge_632807,Togaviridae,1
ICTVTaxoChallenge_758100,Straboviridae,1
ICTVTaxoChallenge_467722,Aliceevansviridae,1
ICTVTaxoChallenge_251920,Coronaviridae,1
ICTVTaxoChallenge_472230,Lispiviridae,1
ICTVTaxoChallenge_880523,Geminiviridae,1
ICTVTaxoChallenge_89435,Montyvirus,1
ICTVTaxoChallenge_104312,Nymbaxtervirinae,0.2974199
ICTVTaxoChallenge_163233,Fromanvirus,1
ICTVTaxoChallenge_588222,Orthoherpesviridae,1
ICTVTaxoChallenge_710328,Metaviridae,1
ICTVTaxoChallenge_271304,Baculoviridae,1
ICTVTaxoChallenge_723790,Nclasvirinae,0.4847325
ICTVTaxoChallenge_416536,Mimiviridae,1
ICTVTaxoChallenge_676598,Demerecviridae,1
ICTVTaxoChallenge_569467,Joanripponvirinae,0.11863163
ICTVTaxoChallenge_956655,Autographiviridae,1
ICTVTaxoChallenge_673551,Zierdtviridae,0.39012825
ICTVTaxoChallenge_26891,Autographiviridae,1
ICTVTaxoChallenge_945561,Anelloviridae,1
ICTVTaxoChallenge_898440,Demerecviridae,1
ICTVTaxoChallenge_254271,Geminiviridae,1
ICTVTaxoChallenge_434427,Stanwilliamsviridae,1
ICTVTaxoChallenge_902655,Guernseyvirinae,1
ICTVTaxoChallenge_302876,Nymbaxtervirinae,0.24725525
ICTVTaxoChallenge_311098,Demerecviridae,1
ICTVTaxoChallenge_649931,Coronaviridae,1
ICTVTaxoChallenge_275523,Gracegardnervirinae,1
ICTVTaxoChallenge_651401,Adenoviridae,1
ICTVTaxoChallenge_8409,Rhabdoviridae,1
ICTVTaxoChallenge_903911,Kutznervirinae,1
ICTVTaxoChallenge_680442,Papillomaviridae,1
ICTVTaxoChallenge_791487,Peduoviridae,0.5088046
ICTVTaxoChallenge_903903,Rhabdoviridae,1
ICTVTaxoChallenge_644623,Steitzviridae,0.067268886
ICTVTaxoChallenge_23726,Geminiviridae,0.14537632
ICTVTaxoChallenge_720592,Virgaviridae,1
ICTVTaxoChallenge_29653,Picornaviridae,0.5024587
ICTVTaxoChallenge_172696,Autographiviridae,1
ICTVTaxoChallenge_410213,Bacilladnaviridae,1
ICTVTaxoChallenge_470417,Peduoviridae,1
ICTVTaxoChallenge_766847,Casadabanvirus,1
ICTVTaxoChallenge_98835,Filoviridae,1
ICTVTaxoChallenge_721466,Chimalliviridae,1
ICTVTaxoChallenge_659631,Rhabdoviridae,1
ICTVTaxoChallenge_665897,Potyviridae,1
ICTVTaxoChallenge_108335,Betaflexiviridae,1
ICTVTaxoChallenge_259955,Rhabdoviridae,1
ICTVTaxoChallenge_437157,Circoviridae,1
ICTVTaxoChallenge_922531,Autographiviridae,0.45700637
ICTVTaxoChallenge_753863,Benedictvirus,0.27259442
ICTVTaxoChallenge_340911,Rountreeviridae,1
ICTVTaxoChallenge_891484,Genomoviridae,0.9029965
ICTVTaxoChallenge_973719,Bclasvirinae,1
ICTVTaxoChallenge_660564,Arquatrovirinae,1
ICTVTaxoChallenge_978493,Rountreeviridae,1
ICTVTaxoChallenge_881151,Skunavirus,1
ICTVTaxoChallenge_572920,Atkinsviridae,1
ICTVTaxoChallenge_943466,Herelleviridae,1
ICTVTaxoChallenge_362614,Aliceevansviridae,1
ICTVTaxoChallenge_896938,Geminiviridae,1
ICTVTaxoChallenge_673170,Nudiviridae,0.4837615
ICTVTaxoChallenge_940666,Nyamiviridae,1
ICTVTaxoChallenge_492339,Benedictvirus,0.17692678
ICTVTaxoChallenge_341626,Salasmaviridae,1
ICTVTaxoChallenge_327521,Herelleviridae,1
ICTVTaxoChallenge_373671,Rhabdoviridae,1
ICTVTaxoChallenge_409299,Rhabdoviridae,1
ICTVTaxoChallenge_314031,Iridoviridae,1
ICTVTaxoChallenge_232802,Adenoviridae,1
ICTVTaxoChallenge_799823,Picornaviridae,1
ICTVTaxoChallenge_585052,Closteroviridae,1
ICTVTaxoChallenge_187719,Pleolipoviridae,1
ICTVTaxoChallenge_425132,Alphaflexiviridae,1
ICTVTaxoChallenge_332039,Kostyavirus,0.35566187
ICTVTaxoChallenge_488779,Chaseviridae,1
ICTVTaxoChallenge_667619,Herelleviridae,0.9928086
ICTVTaxoChallenge_570168,Demerecviridae,1
ICTVTaxoChallenge_920733,Fiersviridae,1
ICTVTaxoChallenge_956902,Obolenskvirus,1
ICTVTaxoChallenge_534276,Herelleviridae,1
ICTVTaxoChallenge_318036,Steitzviridae,1
ICTVTaxoChallenge_722022,Vilmaviridae,0.14885738
ICTVTaxoChallenge_245736,Caliciviridae,1
ICTVTaxoChallenge_502696,Herelleviridae,1
ICTVTaxoChallenge_1722,Gracegardnervirinae,1
ICTVTaxoChallenge_487474,Poxviridae,1
ICTVTaxoChallenge_717522,Gracegardnervirinae,1
ICTVTaxoChallenge_574173,Papillomaviridae,0.9669216
ICTVTaxoChallenge_389532,Andromedavirus,1
ICTVTaxoChallenge_896024,Weiservirinae,1
ICTVTaxoChallenge_271745,Peduoviridae,1
ICTVTaxoChallenge_973724,Suoliviridae,1
ICTVTaxoChallenge_721129,Pleolipoviridae,1
ICTVTaxoChallenge_107191,Weiservirinae,1
ICTVTaxoChallenge_560107,Peduoviridae,1
ICTVTaxoChallenge_169401,Autographiviridae,1
ICTVTaxoChallenge_969924,Orthoherpesviridae,1
ICTVTaxoChallenge_999813,Skunavirus,0.17962834
ICTVTaxoChallenge_943722,Herelleviridae,1
ICTVTaxoChallenge_139891,Stephanstirmvirinae,0.8758067
ICTVTaxoChallenge_928573,Drexlerviridae,1
ICTVTaxoChallenge_881981,Mimiviridae,0.82052326
ICTVTaxoChallenge_544623,Backyardiganvirus,0.26872116
ICTVTaxoChallenge_542770,Iridoviridae,0.9735597
ICTVTaxoChallenge_572609,Demerecviridae,1
ICTVTaxoChallenge_339056,Papillomaviridae,1
ICTVTaxoChallenge_897341,Gordonvirus,0.37872255
ICTVTaxoChallenge_747175,Orthoherpesviridae,1
ICTVTaxoChallenge_991373,Betaflexiviridae,1
ICTVTaxoChallenge_484985,Bromoviridae,0.2722867
ICTVTaxoChallenge_655015,Peduoviridae,1
ICTVTaxoChallenge_381698,Demerecviridae,1
ICTVTaxoChallenge_545078,Potyviridae,1
ICTVTaxoChallenge_501554,Parvoviridae,1
ICTVTaxoChallenge_429840,Alloherpesviridae,1
ICTVTaxoChallenge_207907,Autographiviridae,1
ICTVTaxoChallenge_389484,Geminiviridae,1
ICTVTaxoChallenge_904892,Korravirus,0.3190292
ICTVTaxoChallenge_496240,Kyanoviridae,1
ICTVTaxoChallenge_293406,Filoviridae,1
ICTVTaxoChallenge_406286,Geminiviridae,0.13616723
ICTVTaxoChallenge_41285,Obolenskvirus,1
ICTVTaxoChallenge_367702,Azeevirinae,0.10041202
ICTVTaxoChallenge_959290,Genomoviridae,1
ICTVTaxoChallenge_397358,Autographiviridae,1
ICTVTaxoChallenge_885859,Zierdtviridae,1
ICTVTaxoChallenge_231855,Geminiviridae,1
ICTVTaxoChallenge_942910,Paclarkvirus,1
ICTVTaxoChallenge_356265,Chimalliviridae,1
ICTVTaxoChallenge_709521,Orthoherpesviridae,1
ICTVTaxoChallenge_628440,Picornaviridae,1
ICTVTaxoChallenge_920290,Adenoviridae,1
ICTVTaxoChallenge_728058,Autographiviridae,1
ICTVTaxoChallenge_378636,Baculoviridae,1
ICTVTaxoChallenge_319953,Joanripponvirinae,0.3206336
ICTVTaxoChallenge_228745,Vividuovirus,0.6514009
ICTVTaxoChallenge_594271,Alloherpesviridae,1
ICTVTaxoChallenge_360382,Chuviridae,1
ICTVTaxoChallenge_564525,Weiservirinae,1
ICTVTaxoChallenge_346259,Papillomaviridae,1
ICTVTaxoChallenge_881138,Autographiviridae,1
ICTVTaxoChallenge_844689,Gordonclarkvirinae,1
ICTVTaxoChallenge_998057,Wizardvirus,1
ICTVTaxoChallenge_533794,Retroviridae,1
ICTVTaxoChallenge_869712,Steitzviridae,1
ICTVTaxoChallenge_643865,Papillomaviridae,1
ICTVTaxoChallenge_111013,Steitzviridae,1
ICTVTaxoChallenge_95708,Papillomaviridae,0.20412034
ICTVTaxoChallenge_470810,Chimalliviridae,1
ICTVTaxoChallenge_396631,Genomoviridae,1
ICTVTaxoChallenge_885607,Geminiviridae,1
ICTVTaxoChallenge_292334,Geminiviridae,1
ICTVTaxoChallenge_959709,Demerecviridae,1
ICTVTaxoChallenge_273357,Aliusviridae,1
ICTVTaxoChallenge_232199,Peduoviridae,1
ICTVTaxoChallenge_307241,Solemoviridae,0.045196798
ICTVTaxoChallenge_16364,Baculoviridae,1
